Original text,Corrected text,Waze location,Coordinates,Note
סאלח דבאח ב״ש,סאלח דבאח – באר שבע,"https://waze.com/ul?ll=31.224450,34.821690&navigate=yes","31.224450, 34.821690","סופר דבאח, ב""ש — you confirmed"
זול ובגדול אשדוד,זול ובגדול – אשדוד,"https://waze.com/ul?ll=31.780820,34.631780&navigate=yes","31.780820, 34.631780","זול ובגדול, אשדוד"
יוחננוף גדרה ,יוחננוף – גדרה,"https://waze.com/ul?ll=31.797160,34.767740&navigate=yes","31.797160, 34.767740",יוחננוף ביג גדרה
מחסני השוק רמות,מחסני השוק – רמות,"https://waze.com/ul?ll=31.280323,34.804813&navigate=yes","31.280323, 34.804813","מחסני השוק רמות, ב""ש"
רמי לוי נתיבות,רמי לוי – נתיבות,"https://waze.com/ul?ll=31.416910,34.615611&navigate=yes","31.416910, 34.615611","רמי לוי שיווק השקמה, נתיבות"
מחסני השוק דימונה,"מחסני השוק – דימונה, פרץ סנטר","https://waze.com/ul?ll=31.059750,35.020900&navigate=yes","31.059750, 35.020900","מחסני השוק, פרץ סנטר דימונה"
מחסני השוק מיתרים,מחסני השוק – מיתרים,"https://waze.com/ul?ll=31.374910,35.007250&navigate=yes","31.374910, 35.007250",מחסני השוק מיתרים
רמי לוי אופקים,רמי לוי – אופקים,"https://waze.com/ul?ll=31.293210,34.612890&navigate=yes","31.293210, 34.612890","רמי לוי שיווק השקמה, אופקים"
רמי לוי קסטינה,רמי לוי – קסטינה,"https://waze.com/ul?ll=31.727796,34.754099&navigate=yes","31.727796, 34.754099","רמי לוי, א.ת. באר טוביה (קסטינה) — your link"
רמי לוי כרמי גת- בוייז ספורטק קריית גת,רמי לוי כרמי גת / סופרמרקט בקריית גת,"https://waze.com/ul?ll=31.626950,34.771360&navigate=yes","31.626950, 34.771360",רמי לוי כרמי גת — you confirmed
קינג סטור ב״ש,קינג סטור – באר שבע,"https://waze.com/ul?ll=31.224680,34.820200&navigate=yes","31.224680, 34.820200","קינג סטור, ב""ש"
קשת טעמים אשדוד,קשת טעמים – אשדוד,"https://waze.com/ul?ll=31.812130,34.661190&navigate=yes","31.812130, 34.661190","קשת טעמים, אשדוד"
מחסני השוק גדרה,מחסני השוק – גדרה,"https://waze.com/ul?ll=31.803660,34.784850&navigate=yes","31.803660, 34.784850","מחסני השוק בשבילך, גדרה"
מחסני השוק האורגים,מחסני השוק – האורגים,"https://waze.com/ul?ll=31.254180,34.817730&navigate=yes","31.254180, 34.817730","מחסני השוק האורגים, ב""ש"
יוחננוף נתיבות רחוב בעלי המלאכה,"יוחננוף – נתיבות, בעלי המלאכה","https://waze.com/ul?ll=31.418300,34.597040&navigate=yes","31.418300, 34.597040","יוחננוף נתיבות, בעלי המלאכה"
