Original text,Corrected text,Waze location,Coordinates,closest_arial_distance_index,closest_arial_distance_meters
סאלח דבאח ב״ש,סאלח דבאח – באר שבע,"https://waze.com/ul?ll=31.224450,34.821690&navigate=yes","31.224450, 34.821690",12,144
זול ובגדול אשדוד,זול ובגדול – אשדוד,"https://waze.com/ul?ll=31.780820,34.631780&navigate=yes","31.780820, 34.631780",50,560
יוחננוף גדרה ,יוחננוף – גדרה,"https://waze.com/ul?ll=31.797160,34.767740&navigate=yes","31.797160, 34.767740",34,1526
מחסני השוק רמות,מחסני השוק – רמות,"https://waze.com/ul?ll=31.280323,34.804813&navigate=yes","31.280323, 34.804813",47,1354
רמי לוי נתיבות,רמי לוי – נתיבות,"https://waze.com/ul?ll=31.416910,34.615611&navigate=yes","31.416910, 34.615611",16,1769
מחסני השוק דימונה,"מחסני השוק – דימונה, פרץ סנטר","https://waze.com/ul?ll=31.059750,35.020900&navigate=yes","31.059750, 35.020900",17,1536
מחסני השוק מיתרים,מחסני השוק – מיתרים,"https://waze.com/ul?ll=31.374910,35.007250&navigate=yes","31.374910, 35.007250",5,21917
רמי לוי אופקים,רמי לוי – אופקים,"https://waze.com/ul?ll=31.293210,34.612890&navigate=yes","31.293210, 34.612890",19,2689
רמי לוי קסטינה,רמי לוי – קסטינה,"https://waze.com/ul?ll=31.727796,34.754099&navigate=yes","31.727796, 34.754099",20,441
רמי לוי כרמי גת- בוייז ספורטק קריית גת,רמי לוי כרמי גת / סופרמרקט בקריית גת,"https://waze.com/ul?ll=31.626950,34.771360&navigate=yes","31.626950, 34.771360",39,2525
קינג סטור ב״ש,קינג סטור – באר שבע,"https://waze.com/ul?ll=31.224680,34.820200&navigate=yes","31.224680, 34.820200",2,144
קשת טעמים אשדוד,קשת טעמים – אשדוד,"https://waze.com/ul?ll=31.812130,34.661190&navigate=yes","31.812130, 34.661190",23,313
מחסני השוק גדרה,מחסני השוק – גדרה,"https://waze.com/ul?ll=31.803660,34.784850&navigate=yes","31.803660, 34.784850",34,376
מחסני השוק האורגים,מחסני השוק – האורגים,"https://waze.com/ul?ll=31.254180,34.817730&navigate=yes","31.254180, 34.817730",28,224
יוחננוף נתיבות רחוב בעלי המלאכה,"יוחננוף – נתיבות, בעלי המלאכה","https://waze.com/ul?ll=31.418300,34.597040&navigate=yes","31.418300, 34.597040",26,439
מחסני השוק דימונה ממשית,מחסני השוק – דימונה ממשית,"https://waze.com/ul?ll=31.059192,35.037017&navigate=yes","31.059192, 35.037017",7,1536
קשת טעמים ב״ש,קשת טעמים – באר שבע,"https://waze.com/ul?ll=31.222930,34.802850&navigate=yes","31.222930, 34.802850",51,1231
מחסני השוק אופקים,"מחסני השוק – אופקים, מבנה","https://waze.com/ul?ll=31.315153,34.624786&navigate=yes","31.315153, 34.624786",9,2689
מחסני השוק קרית מלאכי,מחסני השוק – קריית מלאכי,"https://waze.com/ul?ll=31.731658,34.753038&navigate=yes","31.731658, 34.753038",56,0
רמי לוי קריית גת,רמי לוי – קריית גת,"https://waze.com/ul?ll=31.603820,34.772470&navigate=yes","31.603820, 34.772470",39,185
טיב טעם ב״ש,טיב טעם – באר שבע,"https://waze.com/ul?ll=31.247910,34.812220&navigate=yes","31.247910, 34.812220",32,598
רמי לוי אשדוד,רמי לוי – אשדוד,"https://waze.com/ul?ll=31.814770,34.660040&navigate=yes","31.814770, 34.660040",13,313
שפע ברכה גדרה,שפע ברכה – גדרה,"https://waze.com/ul?ll=31.818301,34.775800&navigate=yes","31.818301, 34.775800",14,1839
מחסני השוק שכונה ט,מחסני השוק – שכונה ט׳,"https://waze.com/ul?ll=31.245847,34.780029&navigate=yes","31.245847, 34.780029",44,586
קרפור נתיבות,קרפור – נתיבות,"https://waze.com/ul?ll=31.417980,34.592430&navigate=yes","31.417980, 34.592430",16,439
קרפור ערד,קרפור – ערד,"https://waze.com/ul?ll=31.248230,35.201160&navigate=yes","31.248230, 35.201160",37,184
ח.נ משקאות הסיטונאי,ח.נ משקאות הסיטונאי,"https://waze.com/ul?ll=31.255990,34.816697&navigate=yes","31.255990, 34.816697",15,224
מחסני השוק קריית גת,מחסני השוק – קריית גת,"https://waze.com/ul?ll=31.601807,34.772956&navigate=yes","31.601807, 34.772956",21,229
מחסני השוק יד בנימין,מחסני השוק – יד בנימין,"https://waze.com/ul?ll=31.792720,34.824080&navigate=yes","31.792720, 34.824080",46,0
פרש מרקט מחסני להב רחוב גיא אוני אשדוד,מחסני להב / פרשמרקט – גיא אוני,"https://waze.com/ul?ll=31.785248,34.659107&navigate=yes","31.785248, 34.659107",79,580
רמי לוי ביג ב״ש,רמי לוי – BIG באר שבע,"https://waze.com/ul?ll=31.242737,34.813938&navigate=yes","31.242737, 34.813938",41,434
טיב טעם אשדוד,טיב טעם – אשדוד,"https://waze.com/ul?ll=31.810210,34.656140&navigate=yes","31.810210, 34.656140",13,523
הסל שלנו גדרה,הסל שלנו – גדרה,"https://waze.com/ul?ll=31.800510,34.783400&navigate=yes","31.800510, 34.783400",14,376
מחסני השוק עובדה,מחסני השוק – עובדה,"https://waze.com/ul?ll=31.259650,34.780120&navigate=yes","31.259650, 34.780120",67,425
יוחננוף נתיבות רחוב אליהו אילוז,"יוחננוף – נתיבות, אליהו אילוז","https://waze.com/ul?ll=31.412450,34.572680&navigate=yes","31.412450, 34.572680",26,1972
מחסני השוק ערד,מחסני השוק – ערד,"https://waze.com/ul?ll=31.248640,35.199280&navigate=yes","31.248640, 35.199280",27,184
קרפור נווה זאב ב״ש,קרפור – נווה זאב,"https://waze.com/ul?ll=31.239300,34.773840&navigate=yes","31.239300, 34.773840",25,936
שוק העיר קריית גת- עבודה פרש סוללות ופזים,שוק העיר – קריית גת / הערת עבודה נוספת,"https://waze.com/ul?ll=31.604380,34.774310&navigate=yes","31.604380, 34.774310",21,185
